VCD info: dumpfile soc_sim.vcd opened for output.
[DBG cy=x] mem_valid=1 addr=0x000000b8 instr=1 wstrb=0000 wdata=0x00000011 rdata=0x03200e13
[DBG cy=x] mem_valid=1 addr=0x0000102c instr=0 wstrb=0000 wdata=0x00000011 rdata=0x00000032
[DBG cy=x] mem_valid=1 addr=0x000000bc instr=1 wstrb=0000 wdata=0x00000011 rdata=0x03c31063
[DBG cy=x] mem_valid=1 addr=0x000000c0 instr=1 wstrb=0000 wdata=0x00000011 rdata=0x00000293
[DBG cy=x] mem_valid=1 addr=0x000000c4 instr=1 wstrb=0000 wdata=0x00000011 rdata=0x000002b7
[DBG cy=x] mem_valid=1 addr=0x000000c8 instr=1 wstrb=0000 wdata=0x00000011 rdata=0x000002b7
[DBG cy=x] mem_valid=1 addr=0x000000cc instr=1 wstrb=0000 wdata=0x00000011 rdata=0xf0028293
[DBG cy=x] mem_valid=1 addr=0x000000d0 instr=1 wstrb=0000 wdata=0x00000011 rdata=0x0aa00313
[DBG cy=x] mem_valid=1 addr=0x000000d4 instr=1 wstrb=0000 wdata=0x00000011 rdata=0x0062a023
[DBG cy=x] mem_valid=1 addr=0x000000d8 instr=1 wstrb=0000 wdata=0x00000011 rdata=0x0000006f
[DBG cy=x] mem_valid=1 addr=0xffffff00 instr=0 wstrb=1111 wdata=0x000000aa rdata=0x00000002
[DBG cy=x] mem_valid=1 addr=0xffffff00 instr=0 wstrb=1111 wdata=0x000000aa rdata=0x00000002
[DBG cy=x] mem_valid=1 addr=0xffffff00 instr=0 wstrb=1111 wdata=0x000000aa rdata=0x00000002
[DBG cy=x] mem_valid=1 addr=0xffffff00 instr=0 wstrb=1111 wdata=0x000000aa rdata=0x00000002
[DBG cy=x] mem_valid=1 addr=0x000000d8 instr=1 wstrb=0000 wdata=0x000000aa rdata=0x0000006f
[DBG cy=x] mem_valid=1 addr=0x000000d8 instr=1 wstrb=0000 wdata=0x000000aa rdata=0x0000006f
[DBG cy=x] mem_valid=1 addr=0x000000d8 instr=1 wstrb=0000 wdata=0x000000aa rdata=0x0000006f
[DBG cy=x] mem_valid=1 addr=0x000000d8 instr=1 wstrb=0000 wdata=0x000000aa rdata=0x0000006f
[DBG cy=x] mem_valid=1 addr=0x000000d8 instr=1 wstrb=0000 wdata=0x000000aa rdata=0x0000006f
[DBG cy=x] mem_valid=1 addr=0x000000d8 instr=1 wstrb=0000 wdata=0x000000aa rdata=0x0000006f
[DBG cy=x] mem_valid=1 addr=0x000000d8 instr=1 wstrb=0000 wdata=0x000000aa rdata=0x0000006f
[DBG cy=x] mem_valid=1 addr=0x000000d8 instr=1 wstrb=0000 wdata=0x000000aa rdata=0x0000006f
[DBG cy=x] mem_valid=1 addr=0x000000d8 instr=1 wstrb=0000 wdata=0x000000aa rdata=0x0000006f
[DBG cy=x] mem_valid=1 addr=0x000000d8 instr=1 wstrb=0000 wdata=0x000000aa rdata=0x0000006f
[DBG cy=x] mem_valid=1 addr=0x000000d8 instr=1 wstrb=0000 wdata=0x000000aa rdata=0x0000006f
[DBG cy=x] mem_valid=1 addr=0x000000d8 instr=1 wstrb=0000 wdata=0x000000aa rdata=0x0000006f
[DBG cy=x] mem_valid=1 addr=0x000000d8 instr=1 wstrb=0000 wdata=0x000000aa rdata=0x0000006f
[DBG cy=x] mem_valid=1 addr=0x000000d8 instr=1 wstrb=0000 wdata=0x000000aa rdata=0x0000006f
[DBG cy=x] mem_valid=1 addr=0x000000d8 instr=1 wstrb=0000 wdata=0x000000aa rdata=0x0000006f
[DBG cy=x] mem_valid=1 addr=0x000000d8 instr=1 wstrb=0000 wdata=0x000000aa rdata=0x0000006f
[DBG cy=x] mem_valid=1 addr=0x000000d8 instr=1 wstrb=0000 wdata=0x000000aa rdata=0x0000006f
[DBG cy=x] mem_valid=1 addr=0x000000d8 instr=1 wstrb=0000 wdata=0x000000aa rdata=0x0000006f
[DBG cy=x] mem_valid=1 addr=0x000000d8 instr=1 wstrb=0000 wdata=0x000000aa rdata=0x0000006f
[DBG cy=x] mem_valid=1 addr=0x000000d8 instr=1 wstrb=0000 wdata=0x000000aa rdata=0x0000006f
[DBG cy=x] mem_valid=1 addr=0x000000d8 instr=1 wstrb=0000 wdata=0x000000aa rdata=0x0000006f
[DBG cy=x] mem_valid=1 addr=0x000000d8 instr=1 wstrb=0000 wdata=0x000000aa rdata=0x0000006f
[DBG cy=x] mem_valid=1 addr=0x000000d8 instr=1 wstrb=0000 wdata=0x000000aa rdata=0x0000006f
[DBG cy=x] mem_valid=1 addr=0x000000d8 instr=1 wstrb=0000 wdata=0x000000aa rdata=0x0000006f
[DBG cy=x] mem_valid=1 addr=0x000000d8 instr=1 wstrb=0000 wdata=0x000000aa rdata=0x0000006f
[DBG cy=x] mem_valid=1 addr=0x000000d8 instr=1 wstrb=0000 wdata=0x000000aa rdata=0x0000006f
[DBG cy=x] mem_valid=1 addr=0x000000d8 instr=1 wstrb=0000 wdata=0x000000aa rdata=0x0000006f
[DBG cy=x] mem_valid=1 addr=0x000000d8 instr=1 wstrb=0000 wdata=0x000000aa rdata=0x0000006f
[DBG cy=x] mem_valid=1 addr=0x000000d8 instr=1 wstrb=0000 wdata=0x000000aa rdata=0x0000006f
[DBG cy=x] mem_valid=1 addr=0x000000d8 instr=1 wstrb=0000 wdata=0x000000aa rdata=0x0000006f
[DBG cy=x] mem_valid=1 addr=0x000000d8 instr=1 wstrb=0000 wdata=0x000000aa rdata=0x0000006f
[DBG cy=x] mem_valid=1 addr=0x000000d8 instr=1 wstrb=0000 wdata=0x000000aa rdata=0x0000006f
[DBG cy=x] mem_valid=1 addr=0x000000d8 instr=1 wstrb=0000 wdata=0x000000aa rdata=0x0000006f
[DBG cy=x] mem_valid=1 addr=0x000000d8 instr=1 wstrb=0000 wdata=0x000000aa rdata=0x0000006f
[DBG cy=x] mem_valid=1 addr=0x000000d8 instr=1 wstrb=0000 wdata=0x000000aa rdata=0x0000006f
[DBG cy=x] mem_valid=1 addr=0x000000d8 instr=1 wstrb=0000 wdata=0x000000aa rdata=0x0000006f
[DBG cy=x] mem_valid=1 addr=0x000000d8 instr=1 wstrb=0000 wdata=0x000000aa rdata=0x0000006f
[DBG cy=x] mem_valid=1 addr=0x000000d8 instr=1 wstrb=0000 wdata=0x000000aa rdata=0x0000006f
[DBG cy=x] mem_valid=1 addr=0x000000d8 instr=1 wstrb=0000 wdata=0x000000aa rdata=0x0000006f
[DBG cy=x] mem_valid=1 addr=0x000000d8 instr=1 wstrb=0000 wdata=0x000000aa rdata=0x0000006f
[DBG cy=x] mem_valid=1 addr=0x000000d8 instr=1 wstrb=0000 wdata=0x000000aa rdata=0x0000006f
[DBG cy=x] mem_valid=1 addr=0x000000d8 instr=1 wstrb=0000 wdata=0x000000aa rdata=0x0000006f
[DBG cy=x] mem_valid=1 addr=0x000000d8 instr=1 wstrb=0000 wdata=0x000000aa rdata=0x0000006f
[DBG cy=x] mem_valid=1 addr=0x000000d8 instr=1 wstrb=0000 wdata=0x000000aa rdata=0x0000006f
[DBG cy=x] mem_valid=1 addr=0x000000d8 instr=1 wstrb=0000 wdata=0x000000aa rdata=0x0000006f
[NPU_MON cy=x] ctrl=0x00000011 status_busy=0 status_done=1
[NPU_MON cy=x] ctrl=0x00000011 status_busy=0 status_done=1
[NPU_MON cy=x] ctrl=0x00000011 status_busy=0 status_done=1
[NPU_MON cy=x] ctrl=0x00000011 status_busy=0 status_done=1
[NPU_MON cy=x] ctrl=0x00000011 status_busy=0 status_done=1
[NPU_MON cy=x] ctrl=0x00000011 status_busy=0 status_done=1
[NPU_MON cy=x] ctrl=0x00000011 status_busy=0 status_done=1
[NPU_MON cy=x] ctrl=0x00000011 status_busy=0 status_done=1
[NPU_MON cy=x] ctrl=0x00000011 status_busy=0 status_done=1
[NPU_MON cy=x] ctrl=0x00000011 status_busy=0 status_done=1
[NPU_MON cy=x] ctrl=0x00000011 status_busy=0 status_done=1
[NPU_MON cy=x] ctrl=0x00000011 status_busy=0 status_done=1
[NPU_MON cy=x] ctrl=0x00000011 status_busy=0 status_done=1
[NPU_MON cy=x] ctrl=0x00000011 status_busy=0 status_done=1
[NPU_MON cy=x] ctrl=0x00000011 status_busy=0 status_done=1
[NPU_MON cy=x] ctrl=0x00000011 status_busy=0 status_done=1
[NPU_MON cy=x] ctrl=0x00000011 status_busy=0 status_done=1
[NPU_MON cy=x] ctrl=0x00000011 status_busy=0 status_done=1
[NPU_MON cy=x] ctrl=0x00000011 status_busy=0 status_done=1
[NPU_MON cy=x] ctrl=0x00000011 status_busy=0 status_done=1
[NPU_MON cy=x] ctrl=0x00000011 status_busy=0 status_done=1
[NPU_MON cy=x] ctrl=0x00000011 status_busy=0 status_done=1
[NPU_MON cy=x] ctrl=0x00000011 status_busy=0 status_done=1
[NPU_MON cy=x] ctrl=0x00000011 status_busy=0 status_done=1
[NPU_MON cy=x] ctrl=0x00000011 status_busy=0 status_done=1
[NPU_MON cy=x] ctrl=0x00000011 status_busy=0 status_done=1
[NPU_MON cy=x] ctrl=0x00000011 status_busy=0 status_done=1
[NPU_MON cy=x] ctrl=0x00000011 status_busy=0 status_done=1
[NPU_MON cy=x] ctrl=0x00000011 status_busy=0 status_done=1
[NPU_MON cy=x] ctrl=0x00000011 status_busy=0 status_done=1
[NPU_MON cy=x] ctrl=0x00000011 status_busy=0 status_done=1
[NPU_MON cy=x] ctrl=0x00000011 status_busy=0 status_done=1
[NPU_MON cy=x] ctrl=0x00000011 status_busy=0 status_done=1
[NPU_MON cy=x] ctrl=0x00000011 status_busy=0 status_done=1
[NPU_MON cy=x] ctrl=0x00000011 status_busy=0 status_done=1
[NPU_MON cy=x] ctrl=0x00000011 status_busy=0 status_done=1
[NPU_MON cy=x] ctrl=0x00000011 status_busy=0 status_done=1
[NPU_MON cy=x] ctrl=0x00000011 status_busy=0 status_done=1
[NPU_MON cy=x] ctrl=0x00000011 status_busy=0 status_done=1
[NPU_MON cy=x] ctrl=0x00000011 status_busy=0 status_done=1
